"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"NIOZ140.110",12178,18734.8486766398,212.782324103687,0.995300361511642,6.8657168770858,3231.44260208598,95,0.88585836360512,0.729821933585005,0.0174726822223425,0.412407798505449,0.264930728714912,0.0222885222885223,0.0415642915642916,3048,0.0222885222885223,0.00469963848835821,0.0662074412074412,0.97731562929016,2.06142270507041,0.518888206388206,0.818891131391131
"NIOZ140.105",9168,20004.6052445074,222.883033195245,0.995513341748522,7.21865627057459,3172.32370285393,183,0.8942017177381,0.791217898277117,0.024310976570162,0.486394579703278,0.355126303973238,0.0380277509831565,0.0616420568375751,2050,0.0380277509831565,0.00448665825147848,0.0682644505453736,0.97299389918112,2.06142303617716,0.639385619945092,0.754322178526378
"NIOZ140.114",11101,21331.5110831234,199.072532344643,0.994976705283134,7.52303270947737,4357.3818165862,281,0.844680120832165,0.807643793063847,0.0179328468016073,0.562114272368523,0.41773530233796,0.0396172733650323,0.0713032972172422,2033,0.0396172733650323,0.0050232947168661,0.010269701457635,0.959731425244399,2.06142303617716,0.669323407903968,0.803433626938966
"NIOZ140.102",11078,18313.2043301759,107.454270561988,0.990693715617165,7.10342645024468,3644.22279248011,155,0.812290837090227,0.762766320340991,0.00969978972395629,0.499649400161511,0.358000729411498,0.0699848338618503,0.104646353233145,5076,0.0699848338618503,0.00930628438283543,0.036784778712257,0.968421147379331,2.06142298154331,0.618226940576313,0.85996139528471
"NIOZ140.109",4337,9598.0125739645,160.353884962377,0.993763793123973,6.35318351274614,1307.57233311902,82,0.949293280936082,0.758594678985491,0.0369734574503982,0.415969283440701,0.287070322730079,0.0295573591204743,0.0588269153283831,1027,0.0295573591204743,0.00623620687602689,0.0671444195015254,0.990050704061218,2.06142303617716,0.440165774477638,0.827980199159616
"NIOZ140.103",10106,19393.1239600666,313.670424950587,0.996811940430286,7.47475321589088,3722.14829539803,240,0.858272120305261,0.810632987138764,0.0310380392787045,0.519721619284216,0.390249917999845,0.0201314160556138,0.0374630987524998,1057,0.0201314160556138,0.00318805956971407,0.0197504999523855,0.966415247723944,2.06142303617716,0.684011046566994,0.834815731835063
"NIOZ140.106",5371,11779.4809815951,162.993011922206,0.993864767647356,6.83568111458418,1862.51494480807,148,0.94462051552899,0.795885976705613,0.0303468650013417,0.468629804579913,0.358430229372896,0.051715912343755,0.0766197003912089,1626,0.051715912343755,0.00613523235264395,0.0741388632677078,0.983704067007352,2.06142303617716,0.618555389459623,0.77055437168029
"NIOZ140.117",4741,10487.4822530864,104.59646395696,0.990439447356351,6.57817983369603,1486.10397220298,114,0.966721492062869,0.777194851141992,0.0220621100942754,0.420091627786117,0.345185623170684,0.0795562873732559,0.10174191871046,2754,0.0795562873732559,0.00956055264364855,0.0162347979316521,0.987163743981228,2.06142297551664,0.590056908455383,0.852066903544501
"NIOZ140.116",9072,18457.6382765531,205.801250146228,0.995140943024936,7.51530445674504,3650.53612591477,320,0.869546410299139,0.824684222419576,0.0226853229879,0.55080107342038,0.433404695434003,0.0449147267521474,0.0749159716170796,1804,0.0449147267521474,0.00485905697506438,0.0180007469189593,0.965329922901674,2.06142303617716,0.72202166064982,0.801792605502303
"NIOZ140.101",6910,13227.2856595092,147.215821630148,0.993207251850196,6.77342773885123,2383.85291693166,103,0.904802409388721,0.766162028863611,0.0213047498741169,0.510650212485026,0.34306602009589,0.0425360174155517,0.0708607489665631,1739,0.0425360174155517,0.00679274814980356,0.126923171000171,0.980280137473301,2.06142303617716,0.558324976151457,0.700780275420101
"NIOZ140.112",6503,12808.3223744292,239.436769782554,0.99582353202932,7.0568719120517,2174.63993162655,183,0.93908536396904,0.80374222449587,0.0368194325361455,0.450653241999193,0.353224545260287,0.0357055931460838,0.0560531567930682,1467,0.0357055931460838,0.00417646797068034,0.0503577861071898,0.980838000556901,2.06142303617716,0.67319768290902,0.813367083678139
