"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"NIOZ140.110",12178,18731.2135736196,228.904600864666,21128.0078514664,92.9579296278703,6.8657168770858,0.995300361511642,212.782324103687,3231.44260208598
"NIOZ140.105",9168,19994.9723796034,422.603479379526,22214.4995229085,99.5126643133439,7.21865627057459,0.995513341748522,222.883033195245,3172.32370285393
"NIOZ140.114",11101,21324.7552870091,358.390227533043,23840.7846716409,103.954435303275,7.52303270947737,0.994976705283134,199.072532344643,4357.3818165862
"NIOZ140.102",11078,18308.6654643823,260.232905030836,20278.2943780719,91.4129322758337,7.10342645024468,0.990693715617165,107.454270561988,3644.22279248011
"NIOZ140.109",4337,9588.2717872969,295.461764559447,11209.3351480232,72.4164570234046,6.35318351274614,0.993763793123973,160.353884962377,1307.57233311902
"NIOZ140.103",10106,19386.3719512195,341.373233380643,22042.0300097893,100.078560289669,7.47475321589088,0.996811940430286,313.670424950587,3722.14829539803
"NIOZ140.106",5371,11769.6470588235,327.413089454897,13243.0182285646,78.7223196053468,6.83568111458418,0.993864767647356,162.993011922206,1862.51494480807
"NIOZ140.117",4741,10476.5254237288,323.388291672546,11102.7447769645,68.0949733314414,6.57817983369603,0.990439447356351,104.59646395696,1486.10397220298
"NIOZ140.116",9072,18449.6034712951,366.622934997901,20322.9473207468,94.0084008810317,7.51530445674504,0.995140943024936,205.801250146228,3650.53612591477
"NIOZ140.101",6910,13220.8896551724,275.7981370478,15447.1559468912,84.2021364733467,6.77342773885123,0.993207251850196,147.215821630148,2383.85291693166
"NIOZ140.112",6503,12800.8740875912,291.821762296457,14532.7584908909,80.8600060175531,7.0568719120517,0.99582353202932,239.436769782554,2174.63993162655
"NIOZ140.95",16927,23806.7407220399,210.885168150704,26274.9699540834,96.3294351755628,6.98905035857373,0.986225804099412,72.5995192182021,4979.14160014944
"NIOZ140.67",1785,3840.47098976109,178.413596356019,4501.29023742543,46.0958637030564,4.69190394123951,0.957154169343177,23.3394938240216,500.307120618466
"NIOZ140.122",12676,24122.9922586521,380.808266034649,26445.5840923412,106.379752686615,7.45844389122662,0.99521608756115,209.033926264826,4489.26385140871
"NIOZ140.86",3390,5643.15866084425,145.522052958285,6216.54874411552,51.2676521242107,4.85208263950527,0.939971283350634,16.6586936355994,926.7888656619
"NIOZ140.80",1405,2796.75847457627,138.311048230755,3073.5512965264,37.1499727809658,3.7137559823701,0.884537439233711,8.66081605468742,333.143309791519
"NIOZ140.107",4226,8847.49321266968,267.031230359303,10361.1336613237,71.0061227931356,6.31685887558923,0.993382908122333,151.123789496571,1190.71383079327
"NIOZ140.118",5402,12006.459697733,339.638971751386,13941.9603504462,80.3373723531178,7.18317479854433,0.997747009164647,443.854446413371,1872.50060786444
"NIOZ140.100",7218,12794.0557939914,243.521449865285,14359.4057793956,79.1403135486837,6.01650191971861,0.97366150278749,37.9672382950163,2141.24952099617
"NIOZ140.61",1571,3004.90769230769,137.264316802338,3088.11857247368,35.8348147705484,3.49652528056256,0.895958876729103,9.61158404063222,345.173620094377
"NIOZ140.93",7188,16283.3699570815,389.784811470546,18631.3547570696,93.9714466540795,7.4167045474863,0.995290738479536,212.347518959073,3400.26734040821
"NIOZ140.63",2596,4762.16490486258,158.6867319497,5696.71168883044,50.6241182143968,5.85455828432962,0.98152893076167,54.1387175315702,835.550674490771
"NIOZ140.66",948,1929.9298245614,115.102095716628,2180.87665443064,30.9872331951747,2.9549720488189,0.758586835155025,4.1422761705732,248.031286869888
"NIOZ140.64",2817,4240.67061143984,110.290490896274,4350.60602266865,37.1737308199236,3.54013778560927,0.863003304005211,7.29944611246708,560.677900078744
"NIOZ140.115",2774,5404.82543103448,187.721050584506,5924.3717980042,50.8835029316719,5.22844971725318,0.974506130141741,39.2251159027562,720.193012549399
"NIOZ140.111",5027,8528.11834961998,190.018941406969,9279.17634600573,60.2285449662013,5.18109646895093,0.964783273636166,28.395597866443,1182.50262331291
"NIOZ140.96",7926,12757.569904548,201.10356961464,14178.8744173668,76.2882418330452,6.93011562550965,0.995009723483893,200.389697198613,2649.28164977425
"NIOZ140.73",1515,3398.51807228916,175.309721878047,3757.85045261067,38.8990257368889,4.44958444601028,0.936163945008818,15.6651284315445,518.754895851917
"NIOZ140.104",7098,14538.5419982317,332.162025149853,16044.5067691154,83.8821967297148,7.03176419811758,0.995198387246421,208.263358858875,2347.46075111185
"NIOZ140.94",4303,10153.3375,330.581699816366,10986.8668199729,69.416770287479,6.77455638193405,0.988830368211154,89.528466014302,1953.14346522521
"NIOZ140.99",2373,5287.17837837838,221.234737481048,5794.13119813162,50.700963260901,5.52095082566758,0.934989847303958,15.3822127549145,946.436211420977
"NIOZ140.85",2886,5431.0219123506,177.862539480428,6109.24539726011,52.1139280522125,5.38345656502941,0.972077687767151,35.8136529546984,819.278034045885
"NIOZ140.91",471,1319.25,171.627491886577,987.491168745547,19.0773720971959,4.52358087081007,0.954250414201183,21.8581213914699,151.326079447022
