"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"NIOZ140.110",13631,22415.9446467589,236.256411672003,0.995767310639644,6.95384319605132,3646.36386066875,104,0.915200308714314,0.730437896223481,0.0173322875557188,0.415068863451989,0.260221277270619,0.0203758297735796,0.0379974463362948,3048,0.0203758297735796,0.00423268936035611,0.0658938825715795,0.985929333547347,2.06142277191646,0.52642239736879,0.807967163360942
"NIOZ140.105",14542,30967,170.134915749108,0.994122311721865,6.92405461768178,4316.22967455261,85,0.869331213863274,0.722399767910235,0.0116995541018504,0.470393428976064,0.278346874410135,0.0331334753811341,0.0616503972383265,4012,0.0331334753811341,0.00587768827813489,0.0765323819434121,0.982990705788097,2.06142293300637,0.518053284442462,0.699370695208364
"NIOZ140.10",23396,30881.7247320692,917.335540371237,0.998909886343665,8.55628708286843,8246.14318161478,754,NA,0.850498472028444,0.0392090759262796,0.515865469485196,0.430867797796539,0.013743499950943,0.0256152876625484,1821,0.013743499950943,0.00109011365633486,0.00584155352115865,0.951974586009783,2.06142303617716,0.869463165759742,0.983290439927848
"NIOZ140.114",14502,29173.2312828814,57.4021874081377,0.982579061092396,6.49277684402487,4557.77683839749,42,0.876644674063841,0.677598464472503,0.0039582255832394,0.542399917041115,0.301485302460319,0.0948489657072814,0.143660740585893,9982,0.0948489657072814,0.0174209389076039,0.173306981119526,0.98128916440146,2.06142292186595,0.474206820535723,0.570642620271567
"NIOZ140.102",16356,27934.271468575,149.710975025942,0.993320462979907,6.96160030017232,4823.70671720931,83,NA,0.717516915150019,0.00915327555795681,0.486144282112379,0.293259329270045,0.0366805411030177,0.061264308012487,5076,0.0366805411030177,0.00667953702009303,0.0968898138513123,0.980061186297917,2.06142270641707,0.534216383396924,0.711773037345358
"NIOZ140.11",21537,26317.3962217044,1115.51911707682,0.999103556375958,8.5579053670645,7150.97153877609,823,NA,0.857718029374636,0.0517954736999963,0.48362990963179,0.427703014242234,0.0103344212941185,0.0198076408137271,1428,0.0103344212941185,0.000896443624041572,0.00324217138639012,0.95643177978809,2.06142303617716,0.871926993247889,0.990512306500988
"NIOZ140.109",4836,11411.5617977528,178.343892606546,0.994392855368442,6.45825604223419,1478.05897035801,90,0.959301984838042,0.761241795852764,0.0368783897035868,0.422298660035207,0.286442287075233,0.0273983566321631,0.0545299327713158,1027,0.0273983566321631,0.00560714463155829,0.0561572937786789,0.993710025896178,2.06142303617716,0.453420125920393,0.813013552449045
"NIOZ140.103",13044,25839.2578994214,68.828305051792,0.985471093625689,6.52876179115587,3945.60973470769,53,0.904193892564483,0.688972587221971,0.00527662565561116,0.502643265812302,0.289759793451218,0.0828888095766333,0.12456954345079,8593,0.0828888095766333,0.014528906374311,0.113968495885945,0.984127448265326,2.06142273579975,0.498172066866662,0.584610635773471
"NIOZ140.106",6323,14762.4328932893,206.35952675456,0.995154088518582,6.95426701708661,2168.1258898728,154,0.952420105870311,0.794596377441579,0.0326363319238589,0.465222974921227,0.346840320844768,0.0429193612247591,0.0635871717038406,1626,0.0429193612247591,0.00484591148141846,0.0725089085389996,0.989631551258526,2.06142303617716,0.624284017421143,0.797439619902336
"NIOZ140.117",7804,14782.8819875776,89.5262161495028,0.98883008750945,6.48193138259264,2201.07132909709,75,0.909784397844373,0.723236787489664,0.0114718370258205,0.417304011655828,0.292879353928513,0.0549233987986772,0.108645474792468,4069,0.0549233987986772,0.0111699124905499,0.0114598096780725,0.990785041990875,2.06142267782088,0.51170952284538,0.866153742323007
"NIOZ140.123",19300,35785.2376861397,167.411447807319,0.994026692839124,7.3528785334746,5811.60252849139,178,NA,0.745134026438264,0.00867416828017195,0.460892976075193,0.3019560432111,0.0443094699241091,0.0806365295213778,6872,0.0443094699241091,0.00597330716087555,0.0497063014617225,0.975186252825324,2.06142297164801,0.636110412596476,0.751055831737496
"NIOZ140.116",13815,27181.366966581,134.19420282051,0.992548113264345,7.086563737711,4472.4276198787,113,0.814014412961569,0.743332053071277,0.00971365927039523,0.504799534311884,0.331816364319481,0.0562461984996745,0.0805864714607365,5271,0.0562461984996745,0.00745188673565533,0.0276055616616691,0.979988505150686,2.06142300104993,0.577155784149478,0.781150960912574
"NIOZ140.14",18122,27767.0265141995,884.519014393359,0.998869442054125,8.23135385736943,6397.2142636805,488,0.879763256761309,0.839515855506241,0.0488091278221697,0.501774940240085,0.403358799351556,0.00835695435441306,0.0155800996969993,855,0.00835695435441306,0.00113055794587507,0.00323526536995406,0.965458989253875,2.06142303617716,0.815756035578145,0.979718502590167
"NIOZ140.101",10890,21112.8228326613,210.786256706142,0.995255857684336,6.86697910772395,3313.4428111791,86,0.883761800410391,0.738734341861876,0.0193559464376622,0.474395336445417,0.287336794502223,0.0203801800112507,0.0385336583536471,1739,0.0203801800112507,0.0047441423156639,0.121741983873992,0.986412220838133,2.06142303617716,0.516958091130696,0.680397993624602
"NIOZ140.112",9295,18622.9182168056,269.063048857744,0.996283398986798,7.06535548835365,2882.02521020865,145,0.927579736921257,0.773249006434145,0.028947073572646,0.441924580179971,0.312055590760582,0.0210706232135932,0.0380621346394151,1467,0.0210706232135932,0.00371660101320233,0.0492366028467604,0.987165818421204,2.06142303617716,0.610502276546544,0.758413168062278
"NIOZ140.125",22018,36918.7848026471,90.4235582175837,0.988940935086919,6.69061948130287,5971.69481815153,47,NA,0.669087669223201,0.00410680162674102,0.470913549950254,0.263749246501523,0.0479304144333267,0.0930044480388192,11142,0.0479304144333267,0.0110590649130808,0.0844740215605131,0.977554613150915,2.06142269876707,0.483636035136926,0.563167313367346
"NIOZ140.95",27103,37549.4973253859,146.767971947637,0.993186524370884,7.15626641005064,7246.04013567326,93,NA,0.701086135458682,0.00541519285494733,0.460951831551124,0.270696225440724,0.040843727762188,0.0734703741994388,12168,0.040843727762188,0.00681347562911594,0.101115750748533,0.97110349911145,2.06142253501712,0.548077310382792,0.691100847218679
"NIOZ140.67",2036,4371.33083832335,31.7723629878584,0.968526105521892,4.93017080714372,559.90304132759,15,0.919426423934192,0.647110843594534,0.0156052863398126,0.431111747011594,0.24039017531526,0.127984533591107,0.186418559690672,2648,0.127984533591107,0.031473894478108,0.339681005316578,0.998000919161484,2.06142270712785,0.260753987433543,0.595118414693088
"NIOZ140.122",18332,35513.636712504,80.0138245416664,0.987502159711423,7.00916173567151,5544.77476003993,99,NA,0.71402543451823,0.00436470786284456,0.4894850208346,0.300250005117563,0.0926091133681032,0.130675267636563,13495,0.0926091133681032,0.0124978402885774,0.0287537743617897,0.976976841121086,2.06142299272385,0.545189404337085,0.824286302497941
"NIOZ140.86",3959,6913.05328947368,21.9142045652232,0.954367497253952,5.13444860962544,1083.5451561544,14,0.948334270044017,0.619822016096657,0.00553528784168305,0.470196854138188,0.253071781947533,0.17378931357637,0.266154751974879,7084,0.17378931357637,0.0456325027460478,0.354791227123301,0.996024093719086,2.06142286572053,0.343727000637849,0.580418036406457
"NIOZ140.13",13443,18255.7648335745,250.819875344704,0.996013075125623,7.24523272997575,3382.16273014872,175,NA,0.762157561335625,0.0186580283675299,0.365225616306586,0.29950028461293,0.0272274425450017,0.0521736669308276,4810,0.0272274425450017,0.00398692487437724,0.00691724216008151,0.984484647390445,2.06142293994694,0.6332672931054,0.978631269104494
