timepoint,treatment,Material,description,Domain,Domain_relative_abundance,st_dev_abundance
NA,NA,negative_c,negative_c_,Bacteria,0.9996931277098466,2.515029584924556e-4
T1,UV,PP,PP_UV_T1,Bacteria,1,3.7641812272355257e-4
T1,UV,PS,PS_UV_T1,Bacteria,1,7.694149931475402e-4
T1,UV,Nylon,Nylon_UV_T1,Bacteria,0.9999999999999999,3.889659179688654e-4
T6,no UV,PP,PP_no UV_T6,Bacteria,0.9866133010061436,1.4052621217685375e-4
T6,no UV,Nylon,Nylon_no UV_T6,Bacteria,1.0000000000000004,1.5724146921344728e-4
T1,no UV,PE,PE_no UV_T1,Bacteria,0.9989976540840264,3.7732213003971747e-4
T6,UV,PS,PS_UV_T6,Bacteria,0.9945279405777051,1.304017936653423e-4
T1,no UV,Nylon,Nylon_no UV_T1,Bacteria,1,3.3415246561547206e-4
T1,UV,PE,PE_UV_T1,Bacteria,1,5.243608498659988e-4
T1,UV,PET,PET_UV_T1,Bacteria,1,4.295610236675025e-4
T6,UV,Nylon,Nylon_UV_T6,Bacteria,0.9975611055152982,9.127913284135253e-5
T6,no UV,PET,PET_no UV_T6,Bacteria,0.9999999999999998,1.5086148998841152e-4
T6,no UV,PP,PP_no UV_T6,Archaea,0.013386698993856397,4.851346250821182e-4
T1,no UV,PP,PP_no UV_T1,Bacteria,0.9941707303402276,2.0925672238106401e-4
T1,no UV,PS,PS_no UV_T1,Bacteria,0.9992076808351976,2.219817672912849e-4
T6,no UV,PS,PS_no UV_T6,Bacteria,0.9994723613269633,1.9670729374479003e-4
T6,no UV,PE,PE_no UV_T6,Bacteria,0.9987829817433878,1.7028261242470357e-4
T6,UV,PE,PE_UV_T6,Bacteria,0.9981044623775033,9.793665898397177e-5
T6,UV,PP,PP_UV_T6,Bacteria,0.9995601477239718,8.544766392653092e-5
T1,no UV,PET,PET_no UV_T1,Bacteria,1,3.0996120894186867e-4
T6,UV,PET,PET_UV_T6,Bacteria,0.9999999999999998,8.572830787261932e-5
T6,UV,Nylon,Nylon_UV_T6,Archaea,0.002438894484701882,1.1390942771326905e-4
T6,UV,PS,PS_UV_T6,Archaea,0.005472059422295125,1.869971321280295e-4
T1,no UV,PP,PP_no UV_T1,Archaea,0.0058292696597724335,2.4354463611562076e-4
T6,UV,PE,PE_UV_T6,Archaea,0.0018955376224972992,5.937706941585891e-5
T6,no UV,PE,PE_no UV_T6,Archaea,0.0012170182566124486,4.100381626948108e-5
NA,NA,negative_c,negative_c_,Archaea,3.068722901534139e-4,7.010538402142871e-6
T6,UV,PP,PP_UV_T6,Archaea,4.398522760280509e-4,1.919308356396963e-5
T6,no UV,PS,PS_no UV_T6,Archaea,5.276386730367045e-4,1.8202620805040756e-5
T1,no UV,PE,PE_no UV_T1,Archaea,0.0010023459159735552,3.751606467388712e-5
T1,no UV,PS,PS_no UV_T1,Archaea,7.923191648023862e-4,3.0781534483567176e-5
T6,no UV,PET,PET_no UV_T6,Archaea,0,0
T6,no UV,Nylon,Nylon_no UV_T6,Archaea,0,0
T1,UV,PP,PP_UV_T1,Archaea,0,0
T1,no UV,Nylon,Nylon_no UV_T1,Archaea,0,0
T6,UV,PET,PET_UV_T6,Archaea,0,0
T1,UV,PET,PET_UV_T1,Archaea,0,0
T1,UV,PE,PE_UV_T1,Archaea,0,0
T1,UV,Nylon,Nylon_UV_T1,Archaea,0,0
T1,no UV,PET,PET_no UV_T1,Archaea,0,0
T1,UV,PS,PS_UV_T1,Archaea,0,0
