treatment,timepoint,Material,description,Family,Family_rep_rel_abund,st_dev_Family_abund
NA,NA,negative_c,negative_c_, Moraxellaceae,0.3212740604501743,0.3209262548969058
UV,T1,PP,PP_UV_T1, Moraxellaceae,0.4481935259168271,0.048665814487506905
NA,NA,negative_c,negative_c_,unassigned,0.06580184481721396,0.027200545099672388
UV,T1,PS,PS_UV_T1, Moraxellaceae,0.651342492523588,0.14729125721604558
UV,T1,Nylon,Nylon_UV_T1, Moraxellaceae,0.4160310580906533,0.18819236287088226
NA,NA,negative_c,negative_c_, Propionibacteriaceae,0.03078666395448625,0.03508996515569844
no UV,T6,PP,PP_no UV_T6, Oleiphilaceae,0.26449595581531826,0.09513755738961766
no UV,T6,Nylon,Nylon_no UV_T6, Oleiphilaceae,0.24754707260331182,0.22459683079954967
no UV,T1,PE,PE_no UV_T1, Moraxellaceae,0.5023664779800388,0.07657862540765602
UV,T6,PS,PS_UV_T6, Staphylococcaceae,0.07304286956616232,0.09524405315275392
UV,T1,PS,PS_UV_T1,unassigned,0.12293725875910219,0.021274337369384038
NA,NA,negative_c,negative_c_, Oleiphilaceae,0.061950077184363996,0.1043471300158911
NA,NA,negative_c,negative_c_, Staphylococcaceae,0.011712361627245515,0.01705852589023391
no UV,T1,Nylon,Nylon_no UV_T1, Moraxellaceae,0.37907218565898493,0.17095308422033995
UV,T1,PE,PE_UV_T1, Moraxellaceae,0.4544470489552592,0.1025212707573691
UV,T1,PP,PP_UV_T1, Propionibacteriaceae,0.13217188000661564,0.07696930223613152
NA,NA,negative_c,negative_c_, Phormidesmiaceae,0.02087645926256,0.035032213343843516
UV,T1,PET,PET_UV_T1, Moraxellaceae,0.524881036127623,0.20460269777752843
UV,T6,Nylon,Nylon_UV_T6, Phormidesmiaceae,0.04670312997009368,0.03589794291338662
NA,NA,negative_c,negative_c_, Xanthomonadaceae,0.012728331434571753,0.014416321567353042
UV,T1,PP,PP_UV_T1,unassigned,0.11138440239660474,0.05666435960860188
NA,NA,negative_c,negative_c_, Xanthobacteraceae,0.013537248524449175,0.016285071677912877
UV,T1,PP,PP_UV_T1, Xanthobacteraceae,0.03637247181694823,0.040095347908375226
UV,T1,PS,PS_UV_T1, Propionibacteriaceae,0.06764991424199428,0.04952566212797928
UV,T1,Nylon,Nylon_UV_T1, Propionibacteriaceae,0.18700135542000912,0.11120737405185878
UV,T1,PP,PP_UV_T1, Xanthomonadaceae,0.033565186055114146,0.037838025661538016
no UV,T1,PE,PE_no UV_T1,unassigned,0.17714379033336977,0.041925853349095085
UV,T6,PS,PS_UV_T6, Oleiphilaceae,0.14040339762805584,0.08662204118373547
UV,T6,PS,PS_UV_T6, Propionibacteriaceae,0.04182107202677544,0.047405907588474974
no UV,T6,PP,PP_no UV_T6, Moraxellaceae,0.08177374387752678,0.10592896514268225
NA,NA,negative_c,negative_c_, Beijerinckiaceae,0.012703464826385761,0.02113824174752431
no UV,T6,PP,PP_no UV_T6, Propionibacteriaceae,0.021883127286334993,0.017958531167886347
no UV,T6,PET,PET_no UV_T6, Caldilineaceae,0.028020914579541843,0.03979371143783832
no UV,T6,PP,PP_no UV_T6,unassigned,0.051660528988774566,0.014253464776838533
no UV,T6,PET,PET_no UV_T6, Propionibacteriaceae,0.09665312688828202,0.1240961360054629
no UV,T1,PP,PP_no UV_T1,unassigned,0.11929439720153655,0.03613402690450187
no UV,T1,PS,PS_no UV_T1, Moraxellaceae,0.2326074894361454,0.04364552645885953
UV,T6,PS,PS_UV_T6, Alcanivoracaceae,0.02086718810578839,0.02608406555309313
no UV,T1,PP,PP_no UV_T1, Flavobacteriaceae,0.16643198132695894,0.11655089301252554
no UV,T6,PS,PS_no UV_T6, Propionibacteriaceae,0.14416260556528782,0.18445329113206166
UV,T1,Nylon,Nylon_UV_T1,unassigned,0.11044163869949448,0.04001647081665106
UV,T6,Nylon,Nylon_UV_T6, Xenococcaceae,0.01655506157022752,0.02084748398904139
UV,T6,PS,PS_UV_T6, Flavobacteriaceae,0.10891419011599922,0.025828761418039702
no UV,T1,PP,PP_no UV_T1, Moraxellaceae,0.24944545663253997,0.06075618073837152
UV,T6,PS,PS_UV_T6, Rhodobacteraceae,0.11607122395615735,0.029149397943326612
UV,T6,PS,PS_UV_T6, Arenicellaceae,0.062149904310013465,0.023418926419843205
no UV,T6,PP,PP_no UV_T6, Hyphomonadaceae,0.05413995844109874,0.010432663487163743
UV,T6,Nylon,Nylon_UV_T6, Oleiphilaceae,0.19794275021555657,0.028383042227704776
no UV,T1,PE,PE_no UV_T1, Propionibacteriaceae,0.07896202765193501,0.03506809936329119
UV,T6,Nylon,Nylon_UV_T6, Flavobacteriaceae,0.09597901917413117,0.02860415937788363
no UV,T6,PE,PE_no UV_T6, Burkholderiaceae,0.1578037528120581,0.22125132659310304
UV,T6,PS,PS_UV_T6, Moraxellaceae,0.03066473791291795,0.005915079873728257
no UV,T6,PE,PE_no UV_T6, Moraxellaceae,0.07188911155544936,0.09226611355180785
UV,T6,PE,PE_UV_T6, Hyphomonadaceae,0.21291640235482992,0.06013438161927944
no UV,T6,Nylon,Nylon_no UV_T6, Xanthobacteraceae,0.037447040791945156,0.021566186216095205
NA,NA,negative_c,negative_c_, Streptococcaceae,0.011667392697750854,0.016000914881485147
UV,T1,PP,PP_UV_T1, Blastocatellaceae,0.00801297188375681,0.011367857878641571
UV,T6,PS,PS_UV_T6, Burkholderiaceae,0.04500706733585957,0.0571673387961105
NA,NA,negative_c,negative_c_, Flavobacteriaceae,0.09518648738756669,0.10661856744490832
UV,T6,PP,PP_UV_T6, Hyphomonadaceae,0.080859954050069,0.06124559590471419
no UV,T6,Nylon,Nylon_no UV_T6, Propionibacteriaceae,0.041823571347183654,0.037579223561000526
UV,T1,PP,PP_UV_T1, Flavobacteriaceae,0.0816814243549462,0.11551786119804762
no UV,T6,PET,PET_no UV_T6, Flavobacteriaceae,0.1092828518903043,0.08708219561153592
UV,T6,PP,PP_UV_T6, Spongiibacteraceae,0.0564348350927406,0.054037652806788676
UV,T6,PP,PP_UV_T6, Xanthobacteraceae,0.034388974862397566,0.026226973341449616
UV,T1,PE,PE_UV_T1,unassigned,0.09013073211796081,0.012363227514373321
UV,T1,PP,PP_UV_T1, Burkholderiaceae,0.01968166667826514,0.02034965879373851
UV,T1,PET,PET_UV_T1,unassigned,0.10129945344939154,0.04887039101049501
UV,T1,PS,PS_UV_T1, Staphylococcaceae,0.020843892120005297,0.019013979866228936
UV,T6,PP,PP_UV_T6, Propionibacteriaceae,0.018095483684384,0.021698181643329803
no UV,T6,PP,PP_no UV_T6, Streptococcaceae,0.014118714360404306,0.017988468969447145
no UV,T6,PP,PP_no UV_T6, Burkholderiaceae,0.04261021334102297,0.05305692558027081
no UV,T1,PP,PP_no UV_T1, Propionibacteriaceae,0.0628515836786128,0.052470667756204015
no UV,T6,PS,PS_no UV_T6, Flavobacteriaceae,0.14821898385984084,0.07969896407954101
UV,T6,PS,PS_UV_T6, Halieaceae,0.010374057400302273,0.006525221481949639
UV,T1,PP,PP_UV_T1, Beijerinckiaceae,0.010790125759046513,0.014801937978500775
UV,T6,PS,PS_UV_T6, Xanthomonadaceae,0.01795604890896983,0.020038003658376397
UV,T6,PS,PS_UV_T6, Hyphomonadaceae,0.02176794388380056,0.0076407840032713175
UV,T1,PE,PE_UV_T1, Propionibacteriaceae,0.19153248710239223,0.09659317742284823
no UV,T1,PS,PS_no UV_T1,unassigned,0.11518029977969381,0.009711157241867665
UV,T1,PS,PS_UV_T1, Marinobacteraceae,0.020843411680317614,0.020872421313953133
NA,NA,negative_c,negative_c_, Micrococcaceae,0.002909494539411628,0.0031817690701966806
UV,T6,PP,PP_UV_T6, Oleiphilaceae,0.09925281821404476,0.010198455998994153
no UV,T6,PE,PE_no UV_T6, Hyphomonadaceae,0.08459894344696643,0.061615767192659446
no UV,T6,PP,PP_no UV_T6, Flavobacteriaceae,0.07440183301413539,0.03672570755685949
UV,T6,PS,PS_UV_T6, Sphingomonadaceae,0.026932819861022445,0.015495536089806706
no UV,T6,PET,PET_no UV_T6, Hyphomonadaceae,0.05474720266322366,0.0366655684094412
no UV,T6,PS,PS_no UV_T6, Crocinitomicaceae,0.02735099011493591,0.023478115417643518
UV,T1,PP,PP_UV_T1, Chitinophagaceae,0.007983136529532494,0.011288128451132067
no UV,T1,Nylon,Nylon_no UV_T1,unassigned,0.09147702305620495,0.021179269273110573
no UV,T1,Nylon,Nylon_no UV_T1, Propionibacteriaceae,0.17319564347289948,0.11515534404665895
no UV,T6,PP,PP_no UV_T6, Spongiibacteraceae,0.033279715838868705,0.01941589548144561
UV,T6,PP,PP_UV_T6, Rhodobacteraceae,0.1295042828257915,0.05108310301302558
UV,T1,PS,PS_UV_T1, Family XI,0.018876833744736136,0.013920283916487202
no UV,T1,PET,PET_no UV_T1, Moraxellaceae,0.3634459790724046,0.07543073404560888
no UV,T6,PS,PS_no UV_T6, Hyphomonadaceae,0.035361308126827494,0.017060148426644533
NA,NA,negative_c,negative_c_, Chitinophagaceae,0.0019060437752317714,0.0022573395049320113
UV,T6,PP,PP_UV_T6, Pasteurellaceae,0.008392185027065128,0.011885731404462927
no UV,T6,PE,PE_no UV_T6, Rhodobacteraceae,0.14814098594008163,0.09601351483349325
no UV,T6,Nylon,Nylon_no UV_T6, Burkholderiaceae,0.07506425866409368,0.08296361604580502
