treatment,timepoint,Material,description,Genus,Genus_rep_rel_abund,st_dev_Genus_abund
NA,NA,negative_c,negative_c_, Enhydrobacter,0.3168040900749577,0.3166576675834523
UV,T1,PP,PP_UV_T1, Enhydrobacter,0.4461092214637852,0.05041000458757993
NA,NA,negative_c,negative_c_,unassigned,0.20484905675984438,0.09859654671047283
UV,T1,PS,PS_UV_T1, Enhydrobacter,0.6244401559300503,0.1306494802114893
UV,T1,Nylon,Nylon_UV_T1, Enhydrobacter,0.4084638377297514,0.1868773976504528
NA,NA,negative_c,negative_c_, Cutibacterium,0.03046942691767036,0.034646010742587725
no UV,T6,PP,PP_no UV_T6, Oleiphilus,0.26449595581531826,0.09513755738961766
no UV,T6,Nylon,Nylon_no UV_T6, Oleiphilus,0.24754707260331182,0.22459683079954967
no UV,T1,PE,PE_no UV_T1, Enhydrobacter,0.49578899757035066,0.08155770190989756
UV,T6,PS,PS_UV_T6, Staphylococcus,0.07302935437032214,0.09523113895562449
UV,T1,PS,PS_UV_T1,unassigned,0.13794043746100793,0.028990655544406062
NA,NA,negative_c,negative_c_, Oleiphilus,0.061950077184363996,0.1043471300158911
NA,NA,negative_c,negative_c_, Staphylococcus,0.011709463530136077,0.017053691308135836
no UV,T1,Nylon,Nylon_no UV_T1, Enhydrobacter,0.33148799122778566,0.2065217646514328
UV,T1,PE,PE_UV_T1, Enhydrobacter,0.4438795833881765,0.0929436109525492
UV,T1,PP,PP_UV_T1, Cutibacterium,0.13217188000661564,0.07696935663067996
NA,NA,negative_c,negative_c_, Phormidium MBIC10003,0.013498633732427283,0.023406693204524844
UV,T1,PET,PET_UV_T1, Enhydrobacter,0.5192595182202174,0.20569444206513046
UV,T6,Nylon,Nylon_UV_T6, Phormidium MBIC10003,0.03501142111162888,0.03837796055873266
NA,NA,negative_c,negative_c_, Stenotrophomonas,0.012504298450965222,0.014084134106404023
UV,T1,PP,PP_UV_T1,unassigned,0.16078338125105793,0.024385429824658852
NA,NA,negative_c,negative_c_, Bradyrhizobium,0.012840761730533933,0.015827330688275305
UV,T1,PP,PP_UV_T1, Bradyrhizobium,0.03504039056774377,0.0392112636293117
UV,T1,PS,PS_UV_T1, Cutibacterium,0.06764991424199428,0.049525714631839336
UV,T1,Nylon,Nylon_UV_T1, Cutibacterium,0.18700135542000912,0.11120745264260495
UV,T1,PP,PP_UV_T1, Stenotrophomonas,0.033291544872013676,0.03793982772080578
no UV,T1,PE,PE_no UV_T1,unassigned,0.238719939638945,0.021175621395563362
UV,T6,PS,PS_UV_T6, Oleiphilus,0.14040339762805584,0.08662204118373547
UV,T6,PS,PS_UV_T6, Cutibacterium,0.04182107202677544,0.04740594109044085
no UV,T6,PP,PP_no UV_T6, Enhydrobacter,0.08091509954381415,0.10628700744482455
NA,NA,negative_c,negative_c_, Methylobacterium,0.012371856180435153,0.02062023097354554
no UV,T6,PP,PP_no UV_T6, Cutibacterium,0.021883127286334993,0.017958543859260247
no UV,T6,PET,PET_no UV_T6,unassigned,0.2993688319343248,0.1439537105069786
no UV,T6,PP,PP_no UV_T6,unassigned,0.20531838659940252,0.04531167477942788
no UV,T6,PET,PET_no UV_T6, Cutibacterium,0.09663550512187616,0.12407132929699968
no UV,T1,PP,PP_no UV_T1,unassigned,0.23934987147172157,0.04761340302725144
no UV,T1,PS,PS_no UV_T1, Enhydrobacter,0.23046630652546352,0.0449297750747006
UV,T6,PS,PS_UV_T6, Alcanivorax,0.02086718810578839,0.02608406555309313
no UV,T1,PP,PP_no UV_T1, Tenacibaculum,0.1127606295498986,0.0995467685388648
no UV,T6,PS,PS_no UV_T6, Cutibacterium,0.14399678166367788,0.1842397563511157
UV,T1,Nylon,Nylon_UV_T1,unassigned,0.1293054252539555,0.038119308655806705
UV,T6,Nylon,Nylon_UV_T6, Chroococcidiopsis PCC-6712,0.012784042040023879,0.01662636991314241
UV,T6,PS,PS_UV_T6, Aureicoccus,0.029660901491292864,0.014449615208404286
no UV,T1,PP,PP_no UV_T1, Enhydrobacter,0.2453738186811155,0.06144826228860644
UV,T6,PS,PS_UV_T6, Marivivens,0.015393680224445858,0.017705864262543707
UV,T6,PS,PS_UV_T6, Arenicella,0.0449071367819997,0.02223809135618108
UV,T6,Nylon,Nylon_UV_T6, Oleiphilus,0.19794275021555657,0.028383042227704776
no UV,T1,PE,PE_no UV_T1, Cutibacterium,0.07896202765193501,0.03506812414607308
UV,T6,Nylon,Nylon_UV_T6, Aureicoccus,0.03851939316283951,0.024057192250851733
no UV,T6,PE,PE_no UV_T6, Delftia,0.15634329973323632,0.220770717566338
UV,T6,PS,PS_UV_T6, Enhydrobacter,0.02480455388343256,0.0074317091018414935
no UV,T6,PE,PE_no UV_T6, Enhydrobacter,0.06584839450364355,0.08549173135042001
UV,T6,PE,PE_UV_T6,unassigned,0.4127723043971299,0.06242319329519488
no UV,T6,Nylon,Nylon_no UV_T6, Bradyrhizobium,0.03391005611878882,0.02114143039622219
NA,NA,negative_c,negative_c_, Streptococcus,0.011074690765443328,0.016149936704363387
UV,T1,PP,PP_UV_T1, Blastocatella,0.007997229306382041,0.0113492659738341
UV,T6,PS,PS_UV_T6, Delftia,0.03621634821958306,0.04722717905079593
NA,NA,negative_c,negative_c_, Aureicoccus,0.008472545570624287,0.013560559559997909
UV,T6,PP,PP_UV_T6,unassigned,0.3246385972614284,0.0675705896898905
no UV,T6,Nylon,Nylon_no UV_T6, Cutibacterium,0.041823571347183654,0.037579250118405065
UV,T1,PP,PP_UV_T1, Tenacibaculum,0.0741121584309245,0.1048276002176225
UV,T6,PP,PP_UV_T6, BD1-7 clade,0.05602624897340625,0.05412986609980567
UV,T6,PP,PP_UV_T6, Bradyrhizobium,0.029542724010739818,0.02280951782276303
UV,T1,PE,PE_UV_T1,unassigned,0.14254392998321283,0.001507038939477698
UV,T1,PET,PET_UV_T1,unassigned,0.12191401483406042,0.04067859851633167
UV,T1,PS,PS_UV_T1, Staphylococcus,0.02083555141905279,0.01900593907912308
UV,T6,PP,PP_UV_T6, Cutibacterium,0.018095483684384,0.02169819697753134
no UV,T6,PP,PP_no UV_T6, Streptococcus,0.013289337272130908,0.016830844860102175
no UV,T6,PP,PP_no UV_T6, Delftia,0.037107957011375974,0.05033300665014104
no UV,T1,PP,PP_no UV_T1, Cutibacterium,0.0628515836786128,0.052470704837458436
no UV,T6,PS,PS_no UV_T6, Pseudofulvibacter,0.058820669200466594,0.03171868993990665
UV,T6,PS,PS_UV_T6,unassigned,0.1816213031669848,0.04693492173245094
UV,T6,PS,PS_UV_T6, OM60(NOR5) clade,0.005400672664750325,0.0056121235712928595
UV,T1,PP,PP_UV_T1, Methylobacterium,0.010656313851360986,0.014612985967455677
UV,T6,PS,PS_UV_T6, Stenotrophomonas,0.017913549477633798,0.02000553969081933
UV,T1,PE,PE_UV_T1, Cutibacterium,0.19153248710239223,0.09659327982460224
no UV,T1,PS,PS_no UV_T1,unassigned,0.17112996743611553,0.02859224186716942
UV,T1,PS,PS_UV_T1, Marinobacter,0.020843411680317614,0.020872421313953133
NA,NA,negative_c,negative_c_, Micrococcus,0.0019051981974579683,0.003259238957751181
UV,T6,PP,PP_UV_T6, Oleiphilus,0.09925281821404476,0.010198455998994153
