treatment,timepoint,Material,description,Order,Order_rep_rel_abund,st_dev_Order_abund
NA,NA,negative_c,negative_c_, Pseudomonadales,0.3226738543982348,0.32237931576625256
UV,T1,PP,PP_UV_T1, Pseudomonadales,0.44823510302842007,0.04863508275927809
NA,NA,negative_c,negative_c_,unassigned,0.05357928827977255,0.03840540785892189
UV,T1,PS,PS_UV_T1, Pseudomonadales,0.6558037549730412,0.14294351766775176
UV,T1,Nylon,Nylon_UV_T1, Pseudomonadales,0.4164934625940711,0.18846598025339392
NA,NA,negative_c,negative_c_, Propionibacteriales,0.030920542137697515,0.035105522252356504
no UV,T6,PP,PP_no UV_T6, Oceanospirillales,0.28519290669234837,0.09045167840371837
no UV,T6,Nylon,Nylon_no UV_T6, Oceanospirillales,0.2631177049284515,0.22466431524543662
no UV,T1,PE,PE_no UV_T1, Pseudomonadales,0.5067069427943404,0.07671808257925575
UV,T6,PS,PS_UV_T6, Bacillales,0.07431593450161303,0.0965470556757304
UV,T1,PS,PS_UV_T1,unassigned,0.12118740218996851,0.02302514069134684
NA,NA,negative_c,negative_c_, Oceanospirillales,0.06603198378700768,0.10662781934981276
NA,NA,negative_c,negative_c_, Bacillales,0.012915538829658879,0.017382726809389834
no UV,T1,Nylon,Nylon_no UV_T1, Pseudomonadales,0.3825181108378412,0.16852132552994006
UV,T1,PE,PE_UV_T1, Pseudomonadales,0.45585500207914537,0.10206123229408803
UV,T1,PP,PP_UV_T1, Propionibacteriales,0.13217188000661564,0.0769691613927376
NA,NA,negative_c,negative_c_, Phormidesmiales,0.021696669236313283,0.036451280195119035
UV,T1,PET,PET_UV_T1, Pseudomonadales,0.5249683014263973,0.20465881122129417
UV,T6,Nylon,Nylon_UV_T6, Phormidesmiales,0.051014113578889776,0.03819499872590946
NA,NA,negative_c,negative_c_, Xanthomonadales,0.012779682748670031,0.014422748678022432
UV,T1,PP,PP_UV_T1,unassigned,0.09709296582945962,0.06442222788382468
NA,NA,negative_c,negative_c_, Rhizobiales,0.05393705093036271,0.019848493715015347
UV,T1,PP,PP_UV_T1, Rhizobiales,0.04749583569843595,0.054653636195609076
UV,T1,PS,PS_UV_T1, Propionibacteriales,0.06833838240034194,0.04883698470665254
UV,T1,Nylon,Nylon_UV_T1, Propionibacteriales,0.18700135542000912,0.11120717055743264
UV,T1,PP,PP_UV_T1, Xanthomonadales,0.033565186055114146,0.03783794344712219
no UV,T1,PE,PE_no UV_T1,unassigned,0.16962610826757632,0.04702016834650266
UV,T6,PS,PS_UV_T6, Oceanospirillales,0.1796417179750044,0.1062045016551715
UV,T6,PS,PS_UV_T6, Propionibacteriales,0.04182107202677544,0.04740582084208749
no UV,T6,PP,PP_no UV_T6, Pseudomonadales,0.08216809131965602,0.10568888082406905
no UV,T6,PP,PP_no UV_T6, Propionibacteriales,0.023301374727598027,0.017485963958514622
no UV,T6,PET,PET_no UV_T6, Caldilineales,0.028020914579541843,0.03979371143783832
no UV,T6,PP,PP_no UV_T6,unassigned,0.03202173108325322,0.013330825606558698
no UV,T6,PET,PET_no UV_T6, Propionibacteriales,0.09751659344216938,0.12531574562554754
no UV,T1,PP,PP_no UV_T1,unassigned,0.10638921885551379,0.04396817467021871
