treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
NA,NA,negative_c,negative_c_,unassigned,0.8627812675634524,0.12448238475746844
UV,T1,PP,PP_UV_T1,unassigned,0.9458578651759497,0.05235861674852676
UV,T1,PS,PS_UV_T1,unassigned,0.9868211694665725,0.005204093213423174
UV,T1,Nylon,Nylon_UV_T1,unassigned,0.9632200630775741,0.016462371693087886
no UV,T6,PP,PP_no UV_T6, Oleiphilus sp. HI0067,0.1292181462827736,0.027275601896144024
no UV,T6,Nylon,Nylon_no UV_T6, Oleiphilus sp. HI0067,0.1423949561168522,0.12842266853700965
no UV,T1,PE,PE_no UV_T1,unassigned,0.9687479777904574,0.009816635131433264
no UV,T6,PP,PP_no UV_T6,unassigned,0.8066068454476306,0.014729614054698874
UV,T6,PS,PS_UV_T6,unassigned,0.8211685567174176,0.048153888341557864
NA,NA,negative_c,negative_c_, Oleiphilus sp. HI0067,0.04290136779482122,0.07365203312082519
no UV,T1,Nylon,Nylon_no UV_T1,unassigned,0.9195323064009978,0.029260854664393394
UV,T1,PE,PE_UV_T1,unassigned,0.9545938156580046,0.0058631475799124835
no UV,T6,Nylon,Nylon_no UV_T6,unassigned,0.7750400693487305,0.12056286891167797
NA,NA,negative_c,negative_c_, filamentous cyanobacterium FLK9,0.013458185021392875,0.023339452807499887
UV,T1,PET,PET_UV_T1,unassigned,0.9748081326416314,0.005277398156845093
UV,T6,Nylon,Nylon_UV_T6, filamentous cyanobacterium FLK9,0.034913522826948,0.03838341749191717
UV,T6,PS,PS_UV_T6, Oleiphilus sp. HI0067,0.07960511542065295,0.05951660782569982
no UV,T6,PET,PET_no UV_T6,unassigned,0.8970033479306794,0.05166732523337366
no UV,T1,PP,PP_no UV_T1,unassigned,0.8511798728798567,0.09854126418139299
no UV,T1,PS,PS_no UV_T1,unassigned,0.8969212003345892,0.06434103636874701
no UV,T1,PP,PP_no UV_T1, Tenacibaculum sp. U1368-101106-SW106,0.060621008535273434,0.07374440899651656
no UV,T6,PS,PS_no UV_T6,unassigned,0.8976287864688579,0.022859383337144264
UV,T6,Nylon,Nylon_UV_T6,unassigned,0.7251977396513977,0.04323906856448144
UV,T6,PS,PS_UV_T6, Ruegeria sp.,0.015388141377744519,0.017708906358678587
UV,T6,Nylon,Nylon_UV_T6, Oleiphilus sp. HI0067,0.11872138019084284,0.0043135720690335114
no UV,T6,PE,PE_no UV_T6,unassigned,0.8888402727678479,0.06456043482202953
UV,T6,PE,PE_UV_T6,unassigned,0.8662463708283492,0.00666330535194617
UV,T6,PP,PP_UV_T6,unassigned,0.8690130574353551,0.009023921519853312
no UV,T6,Nylon,Nylon_no UV_T6, Oleiphilus sp. HI0073,0.011174661812548267,0.008099981317171883
UV,T6,PP,PP_UV_T6, Oleiphilus sp. HI0067,0.04760643447107636,0.0045945292374335815
no UV,T1,PET,PET_no UV_T1,unassigned,0.9574527179652745,0.023042435198400144
no UV,T6,PET,PET_no UV_T6, Citreitalea marina,0.0076484529077379465,0.011297513665184122
no UV,T6,PE,PE_no UV_T6, Erythrobacter sp. YT30,0.037521691702312295,0.03164160882051331
UV,T6,Nylon,Nylon_UV_T6, Aureispira marina,0.01134087421490134,0.009739736562298542
UV,T6,PS,PS_UV_T6, Oceanospirillum sp. ME101,0.006930121945658411,0.00810180714895181
UV,T6,PS,PS_UV_T6, Oleiphilus sp. HI0073,0.0035266271145327753,0.0021296248509889678
NA,NA,negative_c,negative_c_, Flavobacteriales bacterium ALC-1,0.0029695909059806003,0.00512481151555692
no UV,T6,PP,PP_no UV_T6, Oleiphilus sp. HI0073,0.004347079171855699,0.0012378439174754738
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum sp. U1368-101106-SW106,0.02870779104611883,0.03397371761742716
no UV,T1,PS,PS_no UV_T1, Tenacibaculum sp. U1368-101106-SW106,0.02188044109112014,0.030989766629368403
UV,T1,PP,PP_UV_T1, Oleiphilus sp. HI0067,0.011844234980481767,0.016751952689362665
NA,NA,negative_c,negative_c_, Sphingopyxis sp. r11,0.002962651985375393,0.005185766479896025
NA,NA,negative_c,negative_c_, Corynebacterium riegelii,9.252175021880634e-4,0.0016102841726621379
UV,T6,Nylon,Nylon_UV_T6, Erythrobacter sp. YT30,0.016849592702573434,0.010868059261549372
NA,NA,negative_c,negative_c_, Flavobacteriaceae bacterium GUDS1159,0.0025904473402362316,0.0044619305642922295
UV,T1,Nylon,Nylon_UV_T1, Deinococcus wulumuqiensis R12,0.003489960346829852,0.005155013070600429
UV,T6,PS,PS_UV_T6, Erythrobacter sp. MBIC3031,0.0033296283296283297,0.004728549047475372
UV,T6,PET,PET_UV_T6,unassigned,0.872761875284692,0.0246503452215854
NA,NA,negative_c,negative_c_, Corynebacterium sp. NNC-3,7.676222469560604e-4,0.0012566785665118687
NA,NA,negative_c,negative_c_, Tateyamaria omphalii,0.0037515793527076943,0.0064213674581543225
no UV,T1,PP,PP_no UV_T1, Oleiphilus sp. HI0067,0.02425949111482059,0.02045532223351444
no UV,T6,PET,PET_no UV_T6, Erythrobacter sp. YT30,0.012977109993623505,0.016342452485995817
NA,NA,negative_c,negative_c_, Erythrobacter sp. MBIC3031,0.002513379302793399,0.0034278257195140788
UV,T6,PE,PE_UV_T6, Oleiphilus sp. HI0067,0.034050838081966385,0.009646480484402803
no UV,T6,PET,PET_no UV_T6, Oleiphilus sp. HI0067,0.017849705729249224,0.023100198240289718
UV,T1,PP,PP_UV_T1, Tenacibaculum sp. U1368-101106-SW106,0.010644577739693422,0.015076157681078154
NA,NA,negative_c,negative_c_, Spongiibacterium pacificum,0.003147935677148146,0.00502667975210996
UV,T6,Nylon,Nylon_UV_T6, Oleiphilus sp. HI0073,0.0035928793579780758,0.0018857014852254167
UV,T6,PE,PE_UV_T6, Oceanospirillum sp. ME101,0.016552391701987204,0.006360638465891238
no UV,T6,Nylon,Nylon_no UV_T6, filamentous cyanobacterium FLK9,0.003766846855661278,0.005336026712037941
no UV,T6,PET,PET_no UV_T6, filamentous cyanobacterium FLK9,0.004198322596797334,0.005947245104640788
UV,T6,PE,PE_UV_T6, Erythrobacter sp. YT30,0.02091071837043975,0.007793446613161962
UV,T6,PET,PET_UV_T6, filamentous cyanobacterium FLK9,0.004581503365035229,0.006490049973860161
NA,NA,negative_c,negative_c_, Winogradskyella sp. PC-8,0.0014817071255578034,0.0024896926112410104
UV,T6,Nylon,Nylon_UV_T6, Tenacibaculum aiptasiae,0.003018059679696247,0.004373583986096214
UV,T6,PS,PS_UV_T6, Tenacibaculum sp. U1368-101106-SW106,0.00478642106643123,0.002960209241269244
no UV,T6,PET,PET_no UV_T6, Erythrobacter sp. MBIC3031,0.004905074649957908,0.0053006236975342725
UV,T6,PS,PS_UV_T6, Reichenbachiella sp. DC003,0.005141700768979965,0.005854585732760403
no UV,T6,PS,PS_no UV_T6, Corynebacterium sp. NNC-3,0.010370884268731003,0.01450008513376589
NA,NA,negative_c,negative_c_, Psychroserpens sp. ANY4,9.246662698750107e-4,0.0016360152434498833
UV,T1,PP,PP_UV_T1, Tenacibaculum jejuense,0.008188136722841093,0.011587563963854816
UV,T6,PET,PET_UV_T6, Altererythrobacter sp. EgM1111,0.0033176403677841314,0.005746321678243614
no UV,T6,PE,PE_no UV_T6, Oleiphilus sp. HI0067,0.021498033545811986,0.015351789374324689
no UV,T6,PS,PS_no UV_T6, Acetobacter aceti ATCC 23746,0.006031505349170247,0.009343967907958927
UV,T1,Nylon,Nylon_UV_T1, Afipia genosp. 1,0.0037528048355192686,0.005233255636906093
UV,T6,PS,PS_UV_T6, Maritimimonas rapanae,7.483132483132483e-4,0.001062947062065046
no UV,T1,PE,PE_no UV_T1, Zeaxanthinibacter aestuarii,0.007263025909670098,0.010096362248093349
no UV,T6,PS,PS_no UV_T6, Oleiphilus sp. HI0067,0.008590129178076536,0.006889500668465122
UV,T6,Nylon,Nylon_UV_T6, Epibacterium ulvae,0.0036964025086620262,0.003150778379815818
no UV,T6,Nylon,Nylon_no UV_T6, Winogradskyella sp. PC-8,0.004777862029042227,0.006765732571100258
UV,T6,Nylon,Nylon_UV_T6, Winogradskyella sp. PC-8,0.0036009384744354854,0.0023863306493789403
NA,NA,negative_c,negative_c_, Sphingorhabdus marina,0.001673964798911657,0.0029087299226603167
UV,T6,Nylon,Nylon_UV_T6, Acinetobacter sp. On4,0.0055241509260535865,0.007825649424216187
no UV,T6,PS,PS_no UV_T6, Citreitalea marina,0.004834838730943495,0.0068461070911384585
no UV,T6,PS,PS_no UV_T6, Erythrobacter sp. YT30,0.015181058586733208,0.015117861773296116
NA,NA,negative_c,negative_c_, Lewinella cohaerens DSM 23179,9.15010266939008e-4,0.0013823727780286341
no UV,T6,PET,PET_no UV_T6, Saprospira sp. CNJ640,0.0027533066593310434,0.0029867185275526936
UV,T1,PP,PP_UV_T1, Leuconostoc carnosum JB16,0.0012869557003872675,0.0018482494110484708
no UV,T1,PP,PP_no UV_T1, Prevotella buccalis,0.00411465342552632,0.005987700242207487
no UV,T6,PP,PP_no UV_T6, Winogradskyella sp. PC-8,0.001956892204767147,0.0014594576405307853
UV,T1,PS,PS_UV_T1, Marinobacter similis,0.0028358383238527365,0.0028919989901438716
NA,NA,negative_c,negative_c_, Lacinutrix sp.,7.492985290366465e-4,0.0013555320418798785
no UV,T6,Nylon,Nylon_no UV_T6, Oceanospirillum sp. ME101,0.006778565288734232,0.00266962280213933
UV,T6,PS,PS_UV_T6, Erythrobacter sp. YT30,0.007929502560641719,0.004034198681080053
UV,T6,Nylon,Nylon_UV_T6, Alcaligenes sp. B_IV_2L29,0.0015166138149731144,0.002175240265161174
no UV,T6,PET,PET_no UV_T6, Caldora penicillata VP642b,0.0025605329886143288,0.0036830448008497913
NA,NA,negative_c,negative_c_, Litorimonas taeanensis,8.823353480856591e-4,0.001447894812939667
